Fitur,Mean SHAP Value
LetterRatioInURL,6.971666309083698
DomainLength,3.7328633212409787
SpacialCharRatioInURL,3.355201964125546
URLLength,2.1323255103879624
DegitRatioInURL,1.4228809862935123
NoOfDegitsInURL,1.384302370125827
NoOfOtherSpecialCharsInURL,0.8684894472953932
TLDLegitimateProb,0.48033319239086736
URLCharProb,0.33178143832963614
CharContinuationRate,0.2739345151298384
TLDLength,0.21963514767147052
NoOfSubDomain,0.19319075084614534
NoOfLettersInURL,0.06790252206862182
IsDomainIP,0.0
NoOfEqualsInURL,0.0
NoOfQMarkInURL,0.0
NoOfAmpersandInURL,0.0
HasObfuscation,0.0
NoOfObfuscatedChar,0.0
ObfuscationRatio,0.0
